#At time x process y state arr w total z remain y wait k
At time 2 process 1 started arr 1 total 20 remain 20 wait 1
At time 20 process 1 finished arr 1 total 20 remain 2 wait 1
At time 21 process 2 started arr 2 total 20 remain 20 wait 19
At time 40 process 2 finished arr 2 total 20 remain 1 wait 19
At time 41 process 3 started arr 3 total 15 remain 15 wait 38
At time 55 process 3 finished arr 3 total 15 remain 1 wait 38
At time 56 process 4 started arr 9 total 1 remain 1 wait 47
At time 56 process 4 finished arr 9 total 1 remain 1 wait 47
