#At time x allocated y bytes for process z from i to j
At time 1 allocated 500 bytes for process 1 from 0 to 511
At time 2 allocated 500 bytes for process 2 from 512 to 1023
At time 21 freed 500 bytes from process 1 from 0 to 511
At time 21 allocated 300 bytes for process 3 from 0 to 511
At time 40 freed 500 bytes from process 2 from 512 to 1023
At time 40 allocated 500 bytes for process 4 from 512 to 1023
At time 55 freed 300 bytes from process 3 from 0 to 511
At time 56 freed 500 bytes from process 4 from 512 to 1023
